[MS Spectrum]	
# of Peaks	314
Raw Spectrum	2.117 (scan : 71)
Background	No Background Spectrum
Base Peak	m/z 43.10 (Inten : 13,585)
Event#	1
m/z	Absolute Intensity
67.10	105
69.10	129
70.10	1623
72.10	58
73.10	145
74.10	271
75.10	137
76.10	24
77.10	272
78.10	50
79.10	94
86.10	203
87.10	108
89.10	1331
90.15	297
91.10	29715
92.10	19922
93.10	1532
94.10	46
95.10	77
98.10	5
99.10	15
100.10	16
105.10	119
106.10	1
107.10	1
109.10	2
113.10	19
114.10	22
116.10	20
118.10	7
119.10	47
120.10	15
121.10	45
122.10	57
123.10	13
124.10	15
127.10	52
128.10	31
129.10	17
131.10	9
133.10	86
135.10	13
138.10	1
139.10	12
141.10	67
142.10	7
144.10	25
148.10	40
149.10	21
157.10	6
162.10	20
170.10	32
173.10	32
174.10	69
175.10	42
176.10	5
177.10	26
182.10	39
187.10	1
190.10	15
191.10	6
193.10	39
195.10	19
198.10	5
200.10	39
201.10	47
203.10	23
204.10	28
207.10	42
208.10	16
209.10	16
210.10	8
211.10	28
213.10	48
216.10	39
217.10	21
218.10	13
219.10	28
224.10	4
225.10	30
228.10	17
229.10	6
231.10	6
232.10	14
234.10	25
237.10	10
241.10	11
245.10	10
250.10	11
252.10	50
253.10	67
256.10	17
257.10	36
259.10	49
262.10	24
267.10	6
268.10	20
269.10	11
270.10	18
273.10	24
276.10	30
278.10	14
279.10	26
282.10	13
283.10	29
286.10	19
287.10	11
294.10	26
295.10	5
297.10	4
298.10	25
299.10	8
300.10	2
306.10	8
309.10	25
310.10	11
312.10	6
314.10	3
316.10	2
319.10	46
320.10	22
322.10	29
323.10	36
324.10	19
327.10	39
329.10	1
332.10	4
333.10	10
337.10	7
340.10	44
344.10	3
345.10	22
346.10	1
347.10	21
348.10	11
357.10	1
366.10	3
369.10	4
371.10	40
372.10	22
375.10	14
377.10	18
378.10	35
379.10	3
380.10	22
383.10	2
386.10	3
388.10	8
397.10	21
398.10	65
[MS Spectrum]	
# of Peaks	202
Raw Spectrum	2.833 -> 2.837 (scan : 501 -> 503)
Background	2.828 <-> 2.855 (scan : 498 <-> 514)
Base Peak	m/z 88.10 (Inten : 2,204)
Event#	1
m/z	Absolute Intensity
34.60	4
35.60	75
38.00	46
39.15	63
40.10	897
41.10	675
42.10	20
45.15	304
48.10	11
50.10	205
52.10	94
53.10	100
54.10	59
55.10	201
57.10	2184
58.10	139
59.10	690
61.00	110
62.10	62
63.00	70
65.00	39
67.00	3
68.00	18
69.10	100
71.10	63
72.10	9
73.10	49
74.10	26
77.10	121
79.10	87
80.00	9
81.10	78
85.10	234
87.10	179
88.10	2204
89.10	183
92.10	15
95.10	11
98.10	10
99.10	60
100.10	28
101.05	326
102.10	6
104.10	4
105.10	30
106.10	20
107.10	3
110.00	17
116.00	36
120.00	24
121.00	2
122.00	14
123.10	24
124.10	2
125.00	51
127.10	33
128.00	10
129.10	19
131.10	10
133.10	28
138.10	13
139.10	8
140.10	31
142.10	9
144.00	50
146.00	7
147.10	34
148.10	15
149.00	50
153.10	8
154.10	24
156.10	15
157.10	27
158.10	36
159.10	10
161.00	6
164.10	22
165.10	7
170.10	25
171.00	52
173.00	34
174.10	23
175.00	32
178.10	10
181.00	5
184.00	15
185.10	19
186.00	7
189.10	29
190.00	16
191.00	22
192.10	17
193.10	50
194.10	13
195.10	27
198.00	6
200.10	57
201.10	3
207.00	33
209.10	24
213.10	41
216.10	47
219.00	4
222.00	61
225.10	2
226.00	11
228.10	21
230.10	17
232.10	67
233.10	42
234.10	17
237.10	26
238.10	10
239.00	18
241.00	6
248.10	1
250.10	4
252.00	40
253.10	10
254.10	57
256.10	7
258.10	23
259.10	30
260.10	16
263.00	5
264.10	12
268.10	3
269.10	18
272.10	8
273.10	33
274.00	55
275.00	45
276.10	26
278.10	17
280.00	15
282.00	12
283.10	25
284.00	6
285.10	15
288.10	40
290.10	1
291.00	8
292.10	46
297.10	37
298.10	29
300.10	18
302.00	15
303.10	19
306.10	12
308.10	45
309.10	27
310.00	40
311.00	2
314.10	38
316.10	31
317.10	33
319.10	25
321.00	5
322.00	25
323.10	30
324.00	7
325.10	2
326.10	29
327.10	24
328.10	7
329.10	11
330.10	33
333.10	2
336.10	11
338.10	9
340.10	9
343.10	11
346.10	61
348.10	33
349.10	9
353.10	11
357.10	14
358.00	15
359.10	21
360.10	25
362.10	4
365.10	15
366.10	20
367.10	7
368.00	1
371.00	10
373.00	26
374.10	6
375.00	25
376.00	18
377.00	61
381.10	6
383.10	8
384.10	7
385.10	24
386.10	27
388.00	4
389.10	35
390.00	6
393.10	8
396.10	38
398.10	47
[MS Spectrum]	
# of Peaks	218
Raw Spectrum	2.983 -> 2.987 (scan : 591 -> 593)
Background	2.962 <-> 3.042 (scan : 578 <-> 626)
Base Peak	m/z 44.10 (Inten : 113,227)
Event#	1
m/z	Absolute Intensity
34.90	79
36.00	38
37.15	482
38.10	1417
39.10	27138
40.10	4516
41.10	89804
42.10	14304
43.10	65611
44.10	113227
45.10	21930
46.10	548
47.10	40
48.10	22
49.10	37
50.00	762
51.05	1154
52.10	269
53.10	3714
54.10	3083
55.10	19577
56.10	104466
57.10	67589
58.10	12279
59.10	1056
60.10	197
61.10	179
62.10	228
63.10	68
64.10	88
65.10	379
66.10	254
67.10	13034
68.05	877
69.10	1421
70.10	1011
71.10	8914
72.10	22525
73.15	1118
74.20	108
75.10	2
77.20	191
78.10	90
79.20	380
80.10	61
81.15	1590
82.10	17742
83.10	1463
85.05	586
86.10	43
87.10	14
88.10	48
89.10	24
91.10	42
93.10	16
94.10	63
97.10	47
98.10	284
99.10	241
100.10	335
101.10	99
103.10	2
105.10	48
107.10	58
108.10	31
109.10	43
110.10	87
111.10	4
114.10	4
115.10	68
117.10	73
119.10	3
120.10	12
121.10	67
122.10	17
123.10	3
124.10	11
125.10	32
126.10	41
127.10	36
128.10	7
129.10	16
130.10	37
132.10	26
133.10	4
136.10	29
137.10	20
138.10	23
140.10	19
141.10	6
143.10	10
146.10	1
147.10	12
151.10	35
154.10	2
156.10	37
159.10	30
160.10	83
162.10	21
164.10	9
168.10	32
169.10	35
170.10	8
171.10	26
172.10	29
173.10	36
177.10	12
179.10	61
183.10	68
186.10	24
188.10	10
189.10	3
191.10	15
194.10	8
195.10	8
197.10	31
198.10	36
200.10	109
202.10	31
203.10	11
204.10	27
206.10	36
207.10	89
208.10	66
210.10	11
211.10	27
212.10	35
213.10	12
214.10	5
216.10	30
220.10	38
221.10	42
222.10	6
223.10	27
224.10	21
227.10	47
228.10	4
231.10	51
232.10	3
233.10	32
235.10	46
236.10	58
238.10	16
239.10	51
242.10	27
243.10	38
244.10	27
245.10	70
247.10	93
248.10	29
250.10	6
253.10	91
254.10	17
255.10	1
259.10	16
260.10	42
261.10	15
262.10	34
269.10	21
271.10	54
272.10	41
275.10	10
277.10	24
278.10	12
279.10	4
281.10	14
282.10	17
284.10	24
285.10	7
289.10	31
295.10	7
306.10	31
308.10	37
310.10	3
311.10	16
320.10	14
322.10	8
323.10	27
325.10	12
326.10	6
327.10	13
328.10	12
333.10	29
334.10	16
338.10	11
339.10	7
340.10	1
344.10	2
346.10	14
348.10	13
350.10	87
351.10	26
352.10	21
353.10	42
354.10	2
355.10	42
356.10	10
357.10	40
358.10	86
361.10	2
362.10	26
366.10	6
367.10	18
368.10	10
371.10	14
372.10	22
374.10	29
375.10	6
378.10	18
379.10	1
381.10	12
383.10	21
385.10	12
391.10	11
393.10	7
395.10	24
396.10	17
397.10	7
[MS Spectrum]	
# of Peaks	216
Raw Spectrum	3.073 -> 3.077 (scan : 645 -> 647)
Background	3.042 <-> 3.112 (scan : 626 <-> 668)
Base Peak	m/z 207.00 (Inten : 50,940)
Event#	1
m/z	Absolute Intensity
35.90	11
37.00	62
37.90	79
39.10	391
40.05	32
41.10	2126
42.15	255
43.10	10314
44.10	198
45.10	176
46.10	8
47.10	169
48.10	19
49.10	17
51.10	5
52.10	67
54.10	57
55.10	817
56.15	5498
57.10	55
58.10	259
59.10	232
61.10	2066
62.10	34
66.10	85
67.10	144
68.10	52
71.10	166
72.10	250
73.05	2255
74.10	154
75.10	929
76.10	23
79.10	72
81.00	418
82.10	784
83.10	80
86.00	114
87.10	1161
87.95	372
89.00	670
90.10	70
94.10	27
95.10	77
96.10	7905
97.05	1150
98.10	30
99.10	33
101.10	44
102.10	275
103.05	843
104.00	191
105.00	105
106.10	55
107.00	96
109.10	11
111.00	4
115.10	709
116.20	141
117.10	286
119.05	1228
120.10	225
121.10	297
122.10	64
123.10	33
124.10	59
125.10	16
128.00	2
130.10	45
131.00	122
132.10	158
133.10	3480
134.10	524
135.10	368
138.10	65
141.10	44
143.10	79
145.10	71
147.00	437
148.10	163
149.10	266
152.10	45
153.10	36
155.10	62
157.10	2
159.00	20
160.10	82
161.10	525
161.90	148
162.90	606
163.90	76
165.00	433
166.00	132
168.10	4
170.00	38
172.00	9
174.90	46
175.90	373
176.95	1553
177.90	186
178.90	217
180.00	172
181.00	36
181.90	24
186.00	24
189.00	112
190.00	56
190.95	4812
191.95	1142
193.00	1495
194.00	307
195.00	165
196.00	34
197.00	16
198.00	17
200.00	16
203.00	81
204.00	3
205.00	60
206.00	144
207.00	50940
207.95	10331
209.00	5753
210.00	691
211.00	278
212.00	55
214.00	25
215.00	5
217.00	58
218.00	4
220.00	12
221.00	24
223.00	30
224.00	28
230.00	12
231.00	1
233.00	22
235.00	2
236.00	24
241.00	1
243.00	2
244.00	20
245.00	14
246.00	29
248.00	5
249.00	42
253.00	34
254.00	22
255.00	26
256.00	12
257.00	20
260.00	52
261.00	49
263.00	38
265.00	17
266.00	15
269.00	13
270.00	3
271.00	12
274.00	36
279.00	32
280.00	8
283.00	33
286.00	1
289.00	62
290.00	5
294.00	20
296.00	21
297.00	13
298.00	17
301.00	28
304.00	4
305.00	2
306.00	17
309.00	1
310.00	11
311.00	7
313.00	15
318.00	30
319.00	42
320.00	4
321.00	31
324.00	46
325.00	40
329.00	42
333.00	5
334.00	18
335.00	16
340.00	15
341.00	19
342.00	3
343.00	49
346.00	12
347.00	27
348.00	34
350.00	40
351.00	3
352.00	2
353.00	39
356.00	20
360.00	52
364.00	28
366.00	20
367.00	30
372.00	25
374.00	27
375.00	21
382.00	9
388.00	35
389.00	61
390.00	59
393.00	47
394.00	2
395.00	41
398.00	41
399.00	4
[MS Spectrum]	
# of Peaks	196
Raw Spectrum	3.325 -> 3.328 (scan : 796 -> 798)
Background	3.312 <-> 3.352 (scan : 788 <-> 812)
Base Peak	m/z 74.10 (Inten : 4,166)
Event#	1
m/z	Absolute Intensity
35.00	21
35.70	13
37.00	17
39.10	494
40.10	151
41.10	2421
44.10	1009
45.10	380
46.10	58
48.10	1
49.10	24
50.10	10
52.10	20
53.10	106
54.10	25
55.10	850
56.10	945
57.15	3366
58.10	43
59.10	156
62.10	26
63.10	33
66.10	116
68.10	183
69.10	156
73.10	462
74.10	4166
75.10	79
76.10	2
78.10	3
79.10	100
83.10	51
84.10	12
85.10	89
86.10	49
87.10	1150
88.10	95
91.10	53
92.10	10
93.10	61
94.10	63
96.10	70
97.10	86
99.10	7
101.10	155
102.10	4
104.10	6
106.10	37
107.10	27
113.10	8
114.10	22
116.10	19
117.10	47
118.10	17
121.10	24
122.10	18
124.10	15
126.10	104
127.10	79
130.10	60
131.10	47
136.10	41
137.10	8
138.10	60
140.10	42
142.10	30
143.10	6
146.10	8
147.10	3
150.10	12
151.10	70
153.10	9
155.10	12
156.10	18
160.10	56
162.10	33
163.10	5
165.10	25
166.10	41
167.10	43
168.10	22
170.10	27
171.10	15
172.10	39
174.10	6
175.10	2
176.10	15
179.10	11
181.10	2
182.10	4
183.10	48
185.10	6
186.10	44
192.10	15
193.10	12
197.10	45
198.10	33
205.10	60
210.10	55
211.10	56
212.10	9
215.10	19
217.10	49
219.10	15
220.10	34
222.10	7
223.10	4
230.10	14
231.10	13
233.10	87
234.10	6
235.10	55
236.10	9
240.10	21
244.10	2
245.10	19
246.10	12
248.10	2
252.10	1
255.10	4
256.10	52
257.10	25
258.10	9
259.10	37
260.10	31
261.10	9
262.10	10
265.10	5
266.10	15
270.10	1
273.10	9
275.10	1
282.10	16
285.10	13
286.10	36
288.10	4
289.10	11
290.10	6
291.10	9
292.10	15
297.10	12
299.10	5
300.10	13
304.10	26
306.10	26
308.10	5
309.10	1
310.10	3
311.10	21
312.10	11
314.10	22
316.10	1
317.10	4
318.10	36
320.10	17
321.10	55
322.10	24
325.10	40
326.10	21
327.10	21
328.10	22
329.10	39
330.10	32
335.10	3
337.10	20
340.10	5
341.10	93
342.10	39
343.10	12
345.10	4
348.10	11
349.10	37
350.10	34
353.10	15
354.10	46
356.10	24
360.10	10
361.10	1
364.10	30
365.10	52
366.10	16
367.10	20
372.10	19
378.10	18
380.10	1
384.10	24
387.10	3
389.10	12
390.10	18
394.10	2
395.10	3
396.10	30
397.10	63
398.10	63
399.10	3
400.10	34
[MS Spectrum]	
# of Peaks	229
Raw Spectrum	3.440 -> 3.443 (scan : 865 -> 867)
Background	3.408 <-> 3.462 (scan : 846 <-> 878)
Base Peak	m/z 91.10 (Inten : 53,938)
Event#	1
m/z	Absolute Intensity
36.00	14
37.00	94
38.10	585
39.10	3650
41.10	873
42.10	148
43.10	874
45.05	65
47.10	52
48.10	103
49.10	18
50.05	1674
51.10	4936
52.10	1617
53.10	534
54.10	80
57.15	523
61.20	50
62.15	481
63.05	1883
64.10	404
65.10	4914
66.10	299
68.10	20
71.15	392
72.10	5
73.10	111
74.10	481
75.10	372
76.15	452
77.10	4546
78.10	3713
79.10	1905
80.10	116
82.10	68
83.10	46
84.10	254
85.10	208
86.10	155
87.10	96
88.10	33
89.10	933
90.15	629
91.10	53938
92.10	4098
93.10	221
94.10	23
97.10	24
98.10	132
99.10	46
100.10	39
101.10	58
102.10	242
103.10	1818
104.00	667
105.15	2661
106.15	15836
107.10	1368
108.10	105
109.10	58
110.10	17
113.10	67
114.10	77
115.10	22
117.10	10
118.10	5
119.10	54
120.10	4
123.10	19
124.10	77
125.10	19
126.10	94
127.10	53
128.10	33
130.10	18
131.10	8
133.10	6
134.10	12
136.10	41
137.10	51
138.10	7
140.10	8
142.10	15
143.10	30
144.10	4
149.10	12
151.10	18
152.10	41
153.10	55
154.10	86
155.10	7
156.10	5
157.10	21
158.10	34
162.10	31
163.10	20
167.10	58
168.10	5
172.10	18
173.10	15
177.10	35
179.10	3
183.10	40
184.10	45
186.10	8
187.10	7
188.10	33
192.10	24
195.10	28
196.10	14
197.10	56
202.10	4
203.10	4
204.10	1
205.10	57
207.10	119
208.10	44
210.10	9
212.10	30
213.10	40
214.10	13
217.10	27
218.10	16
220.10	1
221.10	69
223.10	42
224.10	25
226.10	31
227.10	1
228.10	15
229.10	38
230.10	23
231.10	41
232.10	21
235.10	12
237.10	11
240.10	9
241.10	19
243.10	18
245.10	14
246.10	21
247.10	3
248.10	13
250.10	11
251.10	21
254.10	1
255.10	49
256.10	13
258.10	41
262.10	30
263.10	20
265.10	13
266.10	32
267.10	36
268.10	35
269.10	27
270.10	44
273.10	22
274.10	15
275.10	28
277.10	7
278.10	12
279.10	30
280.10	9
281.10	14
282.10	1
283.10	53
285.10	21
286.10	26
289.10	21
290.10	10
291.10	41
292.10	44
294.10	9
295.10	10
299.10	8
300.10	13
301.10	11
303.10	26
306.10	22
307.10	35
308.10	37
312.10	36
316.10	25
320.10	15
324.10	28
327.10	55
328.10	53
330.10	32
331.10	15
332.10	28
333.10	5
338.10	11
340.10	63
341.10	70
343.10	22
346.10	21
348.10	9
349.10	43
350.10	20
351.10	19
352.10	15
355.10	31
356.10	30
357.10	39
359.10	37
360.10	6
364.10	15
365.10	55
367.10	4
368.10	63
370.10	27
371.10	35
374.10	11
376.10	49
379.10	26
380.10	21
382.10	24
383.10	12
387.10	29
390.10	32
391.10	9
392.10	23
394.10	15
395.10	18
397.10	14
398.10	3
399.10	29
400.10	42
[MS Spectrum]	
# of Peaks	198
Raw Spectrum	3.498 -> 3.502 (scan : 900 -> 902)
Background	3.465 <-> 3.535 (scan : 880 <-> 922)
Base Peak	m/z 91.10 (Inten : 51,071)
Event#	1
m/z	Absolute Intensity
35.00	19
36.00	10
37.00	244
38.10	588
39.10	4953
40.10	297
41.10	302
42.10	115
43.10	41
44.10	5
49.10	83
50.10	1105
51.05	5006
52.10	2814
53.10	1239
54.10	97
59.10	7
60.10	44
61.10	234
62.10	802
63.10	2527
64.15	522
65.10	3102
66.10	579
68.10	34
70.10	254
74.10	613
75.10	334
76.10	445
77.10	6260
78.10	3158
79.10	4229
80.10	230
81.10	50
82.10	64
84.10	14
85.10	243
86.10	32
87.10	12
88.10	57
89.10	1368
90.10	276
91.10	51071
92.10	3648
93.10	275
98.10	69
100.10	25
101.10	68
102.15	551
103.10	2807
104.10	949
105.15	9328
106.15	24181
107.15	1820
108.20	101
112.20	6
114.20	32
116.20	22
117.20	3
122.20	22
123.20	70
124.20	23
127.20	29
129.20	8
130.20	25
132.20	18
136.20	38
140.20	40
145.20	9
146.20	16
148.20	13
151.20	50
152.20	53
156.20	22
158.20	25
160.20	23
172.20	29
173.20	12
174.20	15
175.20	11
177.20	32
178.20	14
180.20	19
182.20	1
183.20	6
184.20	8
188.20	22
190.20	20
191.20	5
194.20	22
196.20	4
197.20	24
198.20	1
202.20	10
208.20	9
210.20	16
212.20	43
213.20	28
214.20	14
216.20	15
217.20	37
220.20	20
222.20	30
224.20	4
225.20	26
226.20	2
227.20	30
228.20	38
230.20	56
231.20	16
232.20	34
236.20	44
238.20	2
241.20	12
242.20	2
244.20	11
245.20	15
247.20	20
248.20	7
252.20	10
253.20	6
255.20	27
259.20	15
261.20	23
271.20	25
273.20	26
274.20	11
275.20	13
277.20	21
279.20	2
282.20	29
285.20	33
286.20	2
288.20	6
289.20	42
290.20	2
296.20	4
297.20	6
299.20	11
300.20	26
301.20	19
303.20	7
305.20	6
307.20	29
308.20	3
310.20	27
312.20	38
315.20	8
316.20	37
317.20	15
319.20	30
320.20	5
322.20	39
323.20	18
326.20	24
331.20	11
333.20	33
334.20	29
335.20	4
336.20	11
338.20	16
340.20	1
343.20	7
346.20	8
349.20	20
350.20	27
351.20	2
353.20	1
356.20	7
357.20	2
358.20	54
359.20	4
360.20	12
361.20	22
362.20	15
363.20	17
364.20	35
366.20	35
369.20	23
370.20	4
372.20	8
374.20	26
375.20	2
378.20	15
380.20	33
381.20	8
383.20	38
384.20	20
385.20	17
388.20	21
389.20	50
390.20	56
392.20	29
393.20	11
394.20	4
395.20	69
397.20	9
400.20	11
[MS Spectrum]	
# of Peaks	179
Raw Spectrum	3.583 -> 3.587 (scan : 951 -> 953)
Background	3.572 <-> 3.618 (scan : 944 <-> 972)
Base Peak	m/z 43.10 (Inten : 12,955)
Event#	1
m/z	Absolute Intensity
35.00	18
36.00	18
37.00	33
38.00	23
39.10	996
40.05	48
41.10	821
42.15	486
43.10	12955
44.05	438
45.10	135
47.00	11
50.10	7
55.10	500
56.10	79
58.10	9547
59.10	1880
60.10	121
61.10	62
63.10	14
64.10	18
67.10	123
68.10	35
71.10	1944
72.15	466
73.10	55
76.10	11
78.10	102
79.20	45
82.10	7
85.20	309
86.10	57
90.10	28
92.10	42
97.20	41
99.10	422
100.20	4
101.10	34
107.10	28
108.20	32
109.10	2
111.10	14
112.20	36
114.10	418
115.10	69
117.10	8
127.10	13
129.20	6
130.20	51
132.20	16
133.20	2
136.20	59
137.10	60
139.10	9
141.10	19
142.10	11
143.10	44
145.10	1
147.10	20
149.10	51
150.10	5
152.10	11
153.20	13
156.10	54
158.10	60
161.10	16
164.20	10
165.20	29
166.20	14
167.10	1
168.20	33
169.10	1
171.10	41
172.10	1
173.20	31
178.10	47
179.20	45
180.20	11
182.10	10
183.20	4
185.20	18
188.10	7
189.10	34
191.10	2
195.10	2
197.10	26
200.10	22
201.10	20
202.20	17
207.10	4
208.20	29
209.10	23
211.10	20
216.10	17
217.10	71
220.10	9
222.10	12
223.10	5
227.10	7
230.10	9
235.10	9
236.10	3
241.10	50
242.10	6
246.10	19
248.10	1
251.10	36
252.10	9
255.10	3
258.10	2
260.10	37
261.20	37
262.20	35
266.20	16
268.10	34
271.10	31
276.10	24
278.10	37
279.20	14
280.10	43
282.10	44
284.10	5
286.20	12
288.10	25
289.20	7
290.20	19
291.20	19
292.10	15
293.10	17
296.10	30
298.10	39
300.10	14
301.10	38
307.10	15
309.10	38
310.10	29
315.10	6
318.10	6
321.10	13
322.10	10
323.10	23
324.10	20
325.10	17
326.10	53
327.10	35
328.10	19
333.10	16
335.10	12
338.10	35
341.10	11
344.20	11
345.10	17
346.20	29
347.20	58
350.10	5
354.10	19
355.20	32
356.10	22
357.10	24
358.20	32
361.10	18
363.10	42
365.20	33
368.10	8
369.20	13
371.20	21
374.20	34
375.20	4
376.20	17
379.20	19
380.20	20
384.10	10
386.10	10
387.20	8
389.20	6
397.10	4
398.20	7
399.20	4
400.20	2
[MS Spectrum]	
# of Peaks	220
Raw Spectrum	3.645 -> 3.648 (scan : 988 -> 990)
Background	3.618 <-> 3.708 (scan : 972 <-> 1026)
Base Peak	m/z 104.10 (Inten : 31,813)
Event#	1
m/z	Absolute Intensity
36.00	39
37.00	254
38.10	679
39.10	3069
40.05	40
41.10	63
42.10	91
46.00	29
48.10	13
49.10	297
50.10	3465
51.10	9730
52.10	3670
53.10	443
55.10	142
59.10	159
60.10	18
61.10	219
62.10	817
63.10	2101
64.10	342
65.10	397
67.10	23
69.10	140
70.10	122
73.10	251
74.05	1252
75.10	1164
76.10	1403
77.10	7310
78.10	15563
79.10	954
81.10	11
85.10	52
86.10	83
87.10	104
88.10	47
89.10	473
90.10	50
91.15	734
92.10	139
94.10	90
95.10	18
96.10	1
97.10	503
98.10	195
99.10	171
101.10	336
102.10	2452
103.10	14002
104.10	31813
105.15	2854
106.15	462
107.20	21
115.20	2
117.20	52
119.20	31
122.20	56
125.10	4
126.10	90
127.10	28
128.10	26
130.10	13
131.10	26
132.10	9
134.10	14
136.10	9
139.20	49
142.20	31
143.10	46
146.10	23
150.10	5
152.20	1
153.10	30
155.20	5
156.10	10
157.10	7
158.10	54
160.10	3
167.10	28
168.10	37
169.20	57
170.20	33
171.10	29
173.10	46
174.20	59
175.10	2
178.10	6
179.20	40
181.10	9
183.10	10
184.20	86
187.10	27
190.10	18
192.20	24
193.20	11
195.10	25
197.10	28
198.20	4
199.10	41
200.20	9
201.10	2
203.10	34
204.10	55
205.10	32
208.20	25
209.20	5
210.20	1
211.10	32
213.20	45
214.20	7
216.10	9
217.20	17
222.10	51
223.20	39
225.20	34
227.10	35
228.10	13
229.20	22
230.20	22
231.20	22
233.10	17
234.20	25
236.20	37
237.10	41
241.10	15
242.20	21
244.10	39
246.10	8
247.20	17
250.20	8
252.20	20
253.20	1
254.10	37
255.20	5
256.10	15
258.10	22
260.10	19
261.10	25
264.20	7
266.10	7
267.10	22
268.10	10
269.10	44
270.20	30
271.10	5
272.10	37
273.20	26
274.20	26
276.10	29
277.20	36
279.20	5
282.10	26
284.10	22
286.10	51
287.10	29
288.20	7
291.10	49
292.10	17
293.20	61
294.10	56
296.10	30
297.20	5
299.10	31
302.10	22
303.20	4
305.10	14
308.20	5
311.20	3
312.20	46
313.20	8
316.20	5
317.10	18
318.10	5
319.10	64
321.10	49
322.20	27
324.10	26
325.10	27
326.20	12
329.20	20
332.20	5
335.20	29
336.10	2
337.10	45
338.20	36
340.10	4
341.10	33
344.20	29
345.20	22
347.10	27
348.10	20
354.10	9
357.10	14
358.10	18
360.10	11
361.10	20
362.10	7
364.10	35
365.20	2
366.10	48
367.10	3
373.20	43
374.10	48
376.10	27
378.20	8
379.10	29
381.10	18
383.10	14
386.20	23
388.20	31
389.10	16
392.20	14
393.20	2
394.10	7
395.10	16
396.10	13
397.20	14
398.10	19
400.10	30
[MS Spectrum]	
# of Peaks	238
Raw Spectrum	3.955 -> 3.958 (scan : 1174 -> 1176)
Background	3.908 <-> 3.992 (scan : 1146 <-> 1196)
Base Peak	m/z 93.15 (Inten : 88,067)
Event#	1
m/z	Absolute Intensity
35.00	62
37.00	59
38.15	646
39.10	10553
40.10	1602
41.10	15135
42.10	1374
43.15	6755
44.10	231
45.10	1365
46.10	94
47.10	8
49.10	21
50.05	701
51.10	3193
52.10	1577
53.10	6207
54.10	845
55.10	5625
56.10	866
57.10	1848
58.15	761
59.10	520
61.10	70
62.10	255
63.10	1207
64.10	154
65.10	4454
66.10	902
67.10	7525
68.10	3448
69.15	973
70.10	272
71.20	64
72.10	52
74.10	78
75.20	346
76.10	206
77.10	20937
78.10	3260
79.10	18697
80.10	8356
81.15	2872
82.10	556
83.10	175
84.10	14
86.10	195
87.15	645
88.10	43
89.10	330
90.10	149
91.10	35854
92.10	34790
93.15	88067
94.15	8017
95.15	1040
96.10	64
99.10	25
101.10	52
102.10	142
103.10	1623
104.10	395
105.10	7659
106.15	1535
107.15	3618
108.15	888
109.10	221
112.10	25
115.20	358
116.10	71
117.10	212
119.10	1449
120.20	257
121.20	8432
122.20	798
123.20	125
124.20	59
125.20	31
126.20	31
127.20	75
128.20	58
129.20	9
130.20	37
132.20	14
133.20	71
134.20	164
135.20	61
136.20	7023
137.25	806
138.20	50
139.20	46
140.20	31
142.20	4
143.20	8
146.20	52
149.20	43
150.20	22
152.20	11
153.20	17
154.20	46
156.20	36
157.20	2
160.20	10
161.20	20
162.20	23
163.20	7
165.20	10
166.20	5
170.20	32
171.20	5
172.20	33
173.20	64
174.20	75
175.20	59
176.20	42
178.20	2
180.20	4
181.20	22
185.20	18
189.20	44
190.20	10
191.20	3
195.20	2
196.20	6
197.20	25
199.20	14
204.20	50
205.20	14
208.20	4
211.20	10
212.20	35
216.20	8
217.20	10
218.20	30
219.20	6
221.20	21
223.20	2
226.20	9
227.20	39
229.20	28
231.20	5
232.20	1
233.20	56
239.20	31
240.20	9
242.20	31
243.20	20
244.20	42
245.20	7
246.20	2
249.20	17
250.20	17
252.20	10
253.20	4
254.20	23
255.20	11
257.20	33
258.20	8
259.20	20
262.20	9
264.20	14
265.20	15
269.20	4
277.20	46
278.20	25
281.20	31
285.20	41
290.20	44
292.20	44
293.20	1
294.20	4
297.20	18
298.20	55
299.20	12
300.20	2
302.20	24
303.20	27
306.20	17
308.20	2
309.20	10
311.20	6
312.20	28
313.20	54
314.20	32
315.20	28
317.20	18
321.20	19
324.20	2
325.20	8
326.20	26
327.20	5
328.20	13
329.20	16
331.20	17
332.20	4
334.20	16
337.20	21
338.20	8
339.20	11
340.20	3
342.20	21
343.20	54
344.20	36
347.20	17
348.20	14
349.20	12
351.20	39
352.20	46
356.20	43
357.20	44
359.20	55
360.20	11
362.20	7
365.20	42
367.20	41
368.20	6
369.20	45
371.20	4
372.20	17
373.20	45
375.20	33
380.20	12
381.20	14
382.20	19
383.20	19
385.20	31
386.20	18
388.20	19
389.20	25
390.20	23
393.20	56
394.20	16
395.20	25
396.20	30
397.20	39
398.20	14
399.20	4
400.20	13
[MS Spectrum]	
# of Peaks	190
Raw Spectrum	4.112 -> 4.115 (scan : 1268 -> 1270)
Background	4.092 <-> 4.135 (scan : 1256 <-> 1282)
Base Peak	m/z 77.10 (Inten : 19,283)
Event#	1
m/z	Absolute Intensity
36.00	76
37.15	500
38.05	912
39.10	1570
40.10	141
42.00	100
46.00	92
48.00	55
49.15	436
50.10	4309
51.10	9716
52.05	2024
53.05	257
54.10	4
55.15	93
56.05	122
57.10	147
58.10	238
60.10	15
61.10	168
62.10	355
63.10	600
65.10	98
68.10	15
69.10	71
70.10	66
73.10	119
74.10	1314
75.10	673
76.10	924
77.10	19283
78.10	3203
79.05	373
80.10	51
