[MS Spectrum]	
# of Peaks	314
Raw Spectrum	2.117 (scan : 71)
Background	No Background Spectrum
Base Peak	m/z 43.10 (Inten : 13,585)
Event#	1
m/z	Absolute Intensity
[MS Spectrum]	
# of Peaks	176
Raw Spectrum	2.138 -> 2.142 (scan : 84 -> 86)
Background	2.128 <-> 2.158 (scan : 78 <-> 96)
Base Peak	m/z 56.15 (Inten : 12,577)
Event#	1
m/z	Absolute Intensity
35.00	9
36.00	2
38.00	13
39.10	1500
40.05	506
41.10	8185
42.10	3250
43.10	7278
44.05	216
45.10	263
46.10	44
48.10	31
49.10	55
50.10	103
51.10	88
53.10	316
54.10	59
55.10	2113
56.15	12577
57.10	2112
58.10	12
62.10	66
65.10	12
67.10	37
70.10	147
71.10	1038
72.10	10
73.10	71
74.10	155
75.10	20
76.10	25
78.10	25
79.10	53
81.10	45
83.10	3
88.10	1
93.00	20
94.00	15
95.00	29
96.00	5
98.00	3
99.10	9
100.00	27
101.00	11
104.10	14
107.00	5
110.00	27
116.00	2
117.00	60
119.00	8
121.10	3
123.10	11
124.00	17
126.10	31
127.00	1
128.00	37
132.00	12
133.10	35
134.10	36
138.10	23
139.10	56
140.00	30
146.00	15
147.00	27
149.10	22
150.10	35
151.00	32
152.00	22
154.10	17
156.10	24
157.10	32
159.00	29
162.00	25
167.00	9
168.00	64
169.10	43
171.00	18
172.00	18
173.00	27
174.00	26
176.00	10
177.00	73
181.10	22
182.10	3
184.00	10
185.00	5
187.00	19
188.10	32
192.00	13
193.00	19
197.00	3
203.00	4
206.00	3
207.00	14
209.00	22
212.00	59
214.00	36
215.10	28
216.00	30
217.00	26
219.10	5
221.10	18
223.00	8
224.00	45
226.00	35
227.00	32
230.10	13
231.00	13
232.00	6
233.10	10
236.00	29
237.10	36
239.10	11
242.00	50
243.00	15
247.10	1
248.00	31
249.10	8
250.10	17
253.10	32
255.00	7
256.00	25
258.00	7
259.10	2
262.10	2
265.00	25
266.00	2
272.00	15
275.00	2
276.00	3
286.00	65
287.10	37
290.00	38
291.10	2
300.00	2
303.00	36
306.10	64
311.00	67
312.00	4
313.00	1
314.10	2
315.00	1
317.10	8
321.00	8
327.00	30
331.00	50
332.10	6
334.00	19
335.00	6
336.00	23
338.10	30
340.00	9
341.10	11
343.00	25
344.00	6
346.10	19
347.10	19
350.10	19
352.10	9
356.10	17
359.10	13
362.00	33
363.10	2
365.00	74
375.00	19
376.00	16
377.10	32
382.10	8
385.10	19
392.00	1
393.00	39
394.00	8
395.00	60
396.10	2
397.10	1
400.00	41
[MS Spectrum]	
# of Peaks	216
Raw Spectrum	2.175 -> 2.178 (scan : 106 -> 108)
Background	2.158 <-> 2.208 (scan : 96 <-> 126)
Base Peak	m/z 43.10 (Inten : 17,041)
Event#	1
m/z	Absolute Intensity
35.00	9
36.00	32
39.10	1785
40.05	217
41.10	7001
42.10	1262
43.10	17041
44.05	937
45.10	371
46.10	32
48.10	21
50.10	107
51.10	84
53.10	383
54.10	36
55.10	2275
56.15	5781
57.10	8028
58.10	206
62.10	20
63.10	19
64.10	29
65.10	30
66.10	4
67.10	50
69.10	337
70.15	7481
71.15	8723
72.10	318
74.10	9
75.10	14
76.10	2
80.10	53
81.10	91
82.10	5
84.10	220
85.10	741
86.10	79
87.10	8
89.10	71
90.10	17
91.10	13
95.10	78
96.10	27
97.10	1
98.10	33
99.10	18
100.25	608
101.10	43
102.20	6
103.10	27
105.20	4
106.10	12
108.20	5
109.10	17
110.10	24
113.20	10
115.10	29
117.10	3
118.10	15
122.10	49
123.10	23
124.10	21
128.10	2
129.10	41
131.20	14
132.10	16
133.20	26
134.10	42
135.20	39
136.10	26
138.20	6
139.20	49
142.10	20
143.10	2
144.20	30
145.10	17
146.10	8
147.10	107
149.10	90
150.10	12
151.20	5
153.10	52
158.10	36
159.10	11
161.10	28
164.20	63
165.10	7
166.10	9
169.10	46
172.10	51
174.10	61
175.10	52
176.10	2
177.10	46
178.10	15
179.10	43
180.10	37
181.20	2
185.10	8
188.10	47
189.20	47
190.10	3
192.20	31
194.10	61
196.10	24
198.10	1
199.10	2
200.10	18
203.10	40
204.20	14
205.10	17
208.20	42
210.10	12
211.10	59
213.20	15
214.10	48
215.10	46
218.10	58
219.20	37
220.10	6
221.10	16
223.20	4
224.10	16
226.10	6
227.10	30
228.10	12
230.20	17
232.20	6
238.10	36
239.20	54
243.20	43
244.10	25
246.10	26
247.10	32
249.10	36
250.10	32
251.10	8
252.20	29
253.10	30
255.10	25
257.20	38
259.10	15
262.20	38
263.10	26
264.10	25
267.10	54
271.10	4
274.10	15
276.20	8
277.20	13
280.10	29
281.10	46
283.10	7
285.20	12
286.10	13
288.10	4
290.10	30
291.10	30
292.20	2
293.10	45
294.10	13
297.20	47
300.10	4
303.10	42
306.10	12
308.20	10
310.10	5
311.10	15
312.20	9
313.10	42
318.10	46
322.10	41
324.10	4
325.10	20
326.10	2
327.10	54
328.10	23
330.10	53
332.20	17
333.10	23
335.20	10
337.20	1
338.10	6
340.20	9
342.10	16
343.20	17
346.10	46
348.20	3
351.10	47
353.10	17
354.20	27
355.10	12
356.10	2
357.20	54
358.20	13
359.10	4
361.10	7
362.10	24
363.10	6
365.10	25
371.20	19
372.10	18
374.10	15
375.10	20
382.10	57
385.20	1
388.10	69
390.20	21
391.20	20
393.20	43
396.10	6
397.10	38
398.10	2
399.20	14
400.10	3
[MS Spectrum]	
# of Peaks	187
Raw Spectrum	2.247 -> 2.250 (scan : 149 -> 151)
Background	2.218 <-> 2.278 (scan : 132 <-> 168)
Base Peak	m/z 43.10 (Inten : 12,154)
Event#	1
m/z	Absolute Intensity
35.00	79
36.00	43
38.00	127
39.10	1142
40.05	201
41.10	3203
42.10	1103
43.10	12154
44.05	509
45.10	2950
46.10	206
47.15	797
48.10	48
49.20	20
50.10	58
51.10	8
52.10	106
53.10	203
55.10	2498
56.15	2382
57.05	1366
58.10	883
59.10	9
60.20	71
61.10	15
63.10	16
65.10	29
66.10	5
67.10	216
68.20	154
69.15	1319
70.15	3956
71.15	2129
72.10	75
74.20	19
75.10	139
78.10	37
80.10	3
81.10	37
83.10	968
84.10	56
85.10	57
86.15	1754
87.20	87
89.10	26
90.20	4
91.10	126
95.10	56
97.10	55
98.10	125
99.20	5
100.10	18
101.10	5
103.10	29
105.10	30
108.10	74
109.10	25
110.20	10
111.10	15
112.10	31
113.10	19
114.20	9
117.20	39
118.10	18
119.10	9
121.10	65
125.10	49
126.20	9
127.10	81
128.10	9
130.10	17
131.10	27
132.10	29
133.10	6
134.10	7
137.10	34
138.10	20
139.20	37
141.10	49
144.10	15
145.20	5
147.10	8
149.10	21
151.10	7
154.10	22
159.20	19
160.20	7
162.20	2
163.10	11
165.10	10
169.10	21
171.10	20
176.10	28
179.20	8
181.10	15
184.10	37
185.20	17
186.10	39
190.20	5
191.20	16
192.20	40
193.20	37
200.10	42
202.20	46
207.20	39
214.10	14
217.10	5
220.10	55
221.10	17
222.10	4
224.10	37
227.10	7
228.10	1
232.20	21
233.20	35
237.10	25
239.10	41
241.10	10
243.10	33
244.10	17
246.10	18
249.20	21
251.10	17
252.10	75
253.20	6
257.10	24
258.10	11
261.20	20
264.20	77
269.20	26
271.10	8
272.10	14
277.10	42
279.20	19
280.10	10
282.20	25
286.20	3
288.20	17
289.10	15
290.20	4
291.10	27
292.20	20
294.10	3
298.10	11
299.10	13
303.10	10
312.10	18
314.20	13
315.20	5
316.20	17
318.10	22
319.20	8
323.10	61
324.10	7
325.10	20
326.20	25
330.10	27
333.10	32
334.10	21
337.10	27
339.10	4
341.10	9
346.10	5
348.20	24
350.20	27
354.20	10
357.10	7
358.10	2
362.10	16
363.10	14
366.10	21
369.20	2
374.10	34
377.20	6
379.20	4
382.20	42
383.20	18
384.10	3
386.10	43
389.20	14
390.20	26
391.20	1
392.10	45
393.20	14
394.20	11
396.10	34
398.20	7
[MS Spectrum]	
# of Peaks	169
Raw Spectrum	2.300 -> 2.303 (scan : 181 -> 183)
Background	2.278 <-> 2.315 (scan : 168 <-> 190)
Base Peak	m/z 44.10 (Inten : 33,467)
Event#	1
m/z	Absolute Intensity
35.00	21
37.00	55
38.10	473
39.10	3827
40.05	894
41.15	10945
42.10	3041
43.10	6485
44.10	33467
45.10	3065
46.10	78
48.10	40
49.10	81
50.10	222
51.10	287
52.10	110
53.10	598
54.10	80
55.15	807
57.10	9939
58.10	13055
59.10	563
62.10	19
63.10	81
66.10	9
67.15	448
68.10	203
73.20	6
75.10	9
78.20	45
81.20	59
86.15	688
87.20	26
88.10	15
89.10	28
91.10	41
92.10	6
95.10	3
96.20	42
97.20	47
102.10	50
105.10	11
107.20	3
109.10	26
111.20	9
116.10	32
117.10	9
119.10	10
123.20	10
126.10	9
127.10	49
129.20	20
131.20	3
133.10	7
134.20	8
137.10	40
138.10	11
141.20	63
142.10	9
143.10	41
146.20	53
149.10	24
150.10	18
152.10	72
158.10	46
160.20	12
162.10	7
166.10	39
169.10	2
172.20	6
174.20	24
176.20	4
178.10	25
179.20	12
180.10	19
182.10	1
184.10	26
186.20	14
187.10	34
191.20	10
194.10	3
196.20	6
